eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
6486.3,408716.8981084,0.0032616853713989258,95,26800,3.3393683433532715,536000,3.7569637298583984
6486.3,408716.8981084,-0.2881358861923218,95,26900,3.784842014312744,538000,6.149685859680176
6451.55421686747,410183.32697660243,-0.335479736328125,95,27000,4.644268035888672,540000,8.873927116394043
6432.261904761905,408552.7491556904,0.2516367435455322,95,27100,5.642972469329834,542000,0.5815380811691284
6432.261904761905,408552.7491556904,-0.03889131546020508,95,27200,5.584486961364746,544000,2.5197315216064453
6432.261904761905,408552.7491556904,-0.016043663024902344,95,27300,6.060418128967285,546000,0.5247297286987305
6432.261904761905,408552.7491556904,0.03143966197967529,95,27400,5.241420745849609,548000,3.9894073009490967
6432.261904761905,408552.7491556904,0.005076289176940918,95,27500,1.9168039560317993,550000,5.463320255279541
6432.261904761905,408552.7491556904,0.0026289820671081543,95,27600,1.576385736465454,552000,3.5808138847351074
6432.261904761905,408552.7491556904,-0.0008676052093505859,95,27700,5.19288444519043,554000,0.059767067432403564
